SEP	Position	Tube ID	Rack ID	Box	Frys	DNA_extract	Comment
SEP0275667	A01	3501358724	5500143582	2625	MPB-kol	Yes	NA
SEP0277925	A02	3501358725	5500143582	2625	MPB-kol	Yes	NA
SEP0280177	A03	3501358726	5500143582	2625	MPB-kol	Yes	NA
SEP0277926	A04	3501358727	5500143582	2625	MPB-kol	Yes	NA
SEP0277933	A05	3501358728	5500143582	2625	MPB-kol	Yes	NA
SEP0164698	A06	3501358729	5500143582	2625	MPB-kol	Yes	NA
SEP0277932	A07	3501358730	5500143582	2625	MPB-kol	Yes	NA
SEP0139499	A08	3501358731	5500143582	2625	MPB-kol	Yes	NA
SEP0139488	A09	3501358732	5500143582	2625	MPB-kol	Yes	NA
SEP0260933	A10	3501358733	5500143582	2625	MPB-kol	Yes	NA
SEP0123649	A11	3501358734	5500143582	2625	MPB-kol	Yes	NA
SEP0123650	A12	3501358735	5500143582	2625	MPB-kol	Yes	NA
SEP0206876	B01	3501358736	5500143582	2625	MPB-kol	Yes	NA
SEP0260934	B02	3501358737	5500143582	2625	MPB-kol	Yes	NA
SEP0270357	B03	3501358738	5500143582	2625	MPB-kol	Yes	NA
SEP0123653	B04	3501358739	5500143582	2625	MPB-kol	Yes	NA
SEP0277029	B05	3501358740	5500143582	2625	MPB-kol	Yes	NA
SEP0123652	B06	3501358741	5500143582	2625	MPB-kol	Yes	NA
SEP0139506	B07	3501358742	5500143582	2625	MPB-kol	Yes	NA
SEP0139507	B08	3501358743	5500143582	2625	MPB-kol	Yes	NA
SEP0139508	B09	3501358744	5500143582	2625	MPB-kol	Yes	NA
SEP0139510	B10	3501358745	5500143582	2625	MPB-kol	Yes	NA
SEP0276089	B11	3501358746	5500143582	2625	MPB-kol	Yes	NA
SEP0270355	B12	3501358747	5500143582	2625	MPB-kol	Yes	NA
SEP0270356	C01	3501358748	5500143582	2625	MPB-kol	Yes	NA
SEP0123657	C02	3501358749	5500143582	2625	MPB-kol	Yes	NA
SEP0033938	C03	3501358750	5500143582	2625	MPB-kol	Yes	NA
SEP0276876	C04	3501358751	5500143582	2625	MPB-kol	Yes	NA
SEP0270354	C05	3501358752	5500143582	2625	MPB-kol	Yes	NA
SEP0139504	C06	3501358753	5500143582	2625	MPB-kol	Yes	NA
SEP0139503	C07	3501358754	5500143582	2625	MPB-kol	Yes	NA
SEP0276869	C08	3501358755	5500143582	2625	MPB-kol	Yes	NA
SEP0280360	C09	3501358756	5500143582	2625	MPB-kol	Yes	NA
SEP0280364	C10	3501358757	5500143582	2625	MPB-kol	Yes	NA
SEP0280361	C11	3501358758	5500143582	2625	MPB-kol	Yes	NA
SEP0280363	C12	3501358759	5500143582	2625	MPB-kol	Yes	NA
SEP0280354	D01	3501358760	5500143582	2625	MPB-kol	Yes	NA
SEP0280357	D02	3501358761	5500143582	2625	MPB-kol	Yes	NA
SEP0280352	D03	3501358762	5500143582	2625	MPB-kol	Yes	NA
SEP0280356	D04	3501358763	5500143582	2625	MPB-kol	Yes	NA
SEP0280355	D05	3501358764	5500143582	2625	MPB-kol	Yes	NA
SEP0280350	D06	3501358765	5500143582	2625	MPB-kol	Yes	NA
SEP0280358	D07	3501358766	5500143582	2625	MPB-kol	Yes	NA
SEP0280351	D08	3501358767	5500143582	2625	MPB-kol	Yes	NA
SEP0280362	D09	3501358768	5500143582	2625	MPB-kol	Yes	NA
SEP0280353	D10	3501358769	5500143582	2625	MPB-kol	Yes	NA
SEP0280359	D11	3501358770	5500143582	2625	MPB-kol	Yes	NA
SEP0296621	D12	3501358771	5500143582	2625	MPB-kol	Yes	NA
SEP0296622	E01	3501358772	5500143582	2625	MPB-kol	Yes	NA
SEP0021844	E02	3501358773	5500143582	2625	MPB-kol	Yes	NA
SEP0296620	E03	3501358774	5500143582	2625	MPB-kol	Yes	NA
SEP0276098	E04	3501358775	5500143582	2625	MPB-kol	Yes	NA
SEP0021846	E05	3501358776	5500143582	2625	MPB-kol	Yes	NA
SEP0021845	E06	3501358777	5500143582	2625	MPB-kol	Yes	NA
SEP0296616	E07	3501358778	5500143582	2625	MPB-kol	Yes	NA
SEP0123662	E08	3501358779	5500143582	2625	MPB-kol	Yes	NA
SEP0296614	E09	3501358780	5500143582	2625	MPB-kol	Yes	NA
SEP0296615	E10	3501358781	5500143582	2625	MPB-kol	Yes	NA
SEP0296618	E11	3501358782	5500143582	2625	MPB-kol	Yes	NA
SEP0296617	E12	3501358783	5500143582	2625	MPB-kol	Yes	NA
