SEP	Position	Tube ID	Rack ID	Box	Frys	DNA_extract	Comment
SEP0280371	A01	3501358820	5500143585	2625	MPB-kol	Yes	NA
SEP0280370	A02	3501358821	5500143585	2625	MPB-kol	Yes	NA
SEP0280373	A03	3501358822	5500143585	2625	MPB-kol	Yes	NA
SEP0280372	A04	3501358823	5500143585	2625	MPB-kol	Yes	NA
SEP0280369	A05	3501358824	5500143585	2625	MPB-kol	Yes	NA
SEP0276082	A06	3501358825	5500143585	2625	MPB-kol	Yes	NA
SEP0023573	A07	3501358826	5500143585	2625	MPB-kol	Yes	NA
SEP0023568	A08	3501358827	5500143585	2625	MPB-kol	Yes	NA
SEP0019102	A09	3501358828	5500143585	2625	MPB-kol	Yes	NA
SEP0022089	A10	3501358829	5500143585	2625	MPB-kol	Yes	NA
SEP0019099	A11	3501358830	5500143585	2625	MPB-kol	Yes	NA
SEP0022090	A12	3501358831	5500143585	2625	MPB-kol	Yes	NA
SEP0019101	B01	3501358832	5500143585	2625	MPB-kol	Yes	NA
SEP0019100	B02	3501358833	5500143585	2625	MPB-kol	Yes	NA
SEP0023569	B03	3501358834	5500143585	2625	MPB-kol	Yes	NA
SEP0023570	B04	3501358835	5500143585	2625	MPB-kol	Yes	NA
SEP0023572	B05	3501358836	5500143585	2625	MPB-kol	Yes	NA
SEP0023571	B06	3501358837	5500143585	2625	MPB-kol	Yes	NA
SEP0271251	B07	3501358838	5500143585	2625	MPB-kol	Yes	NA
SEP0098360	B08	3501358839	5500143585	2625	MPB-kol	Yes	NA
SEP0271290	B09	3501358840	5500143585	2625	MPB-kol	Yes	NA
SEP0271277	B10	3501358841	5500143585	2625	MPB-kol	Yes	NA
SEP0271292	B11	3501358842	5500143585	2625	MPB-kol	Yes	NA
SEP0271264	B12	3501358843	5500143585	2625	MPB-kol	Yes	NA
SEP0271281	C01	3501358844	5500143585	2625	MPB-kol	Yes	NA
SEP0098346	C02	3501358845	5500143585	2625	MPB-kol	Yes	NA
SEP0098359	C03	3501358846	5500143585	2625	MPB-kol	Yes	NA
SEP0271279	C04	3501358847	5500143585	2625	MPB-kol	Yes	NA
SEP0271291	C05	3501358848	5500143585	2625	MPB-kol	Yes	NA
SEP0098350	C06	3501358849	5500143585	2625	MPB-kol	Yes	NA
SEP0271261	C07	3501358850	5500143585	2625	MPB-kol	Yes	NA
SEP0098358	C08	3501358851	5500143585	2625	MPB-kol	Yes	NA
SEP0271272	C09	3501358852	5500143585	2625	MPB-kol	Yes	NA
SEP0098361	C10	3501358853	5500143585	2625	MPB-kol	Yes	NA
SEP0098345	C11	3501358854	5500143585	2625	MPB-kol	Yes	NA
SEP0271273	C12	3501358855	5500143585	2625	MPB-kol	Yes	NA
SEP0271257	D01	3501358856	5500143585	2625	MPB-kol	Yes	NA
SEP0271274	D02	3501358857	5500143585	2625	MPB-kol	Yes	NA
SEP0271269	D03	3501358858	5500143585	2625	MPB-kol	Yes	NA
SEP0271294	D04	3501358859	5500143585	2625	MPB-kol	Yes	NA
SEP0098366	D05	3501358860	5500143585	2625	MPB-kol	Yes	NA
SEP0271287	D06	3501358861	5500143585	2625	MPB-kol	Yes	NA
SEP0271288	D07	3501358862	5500143585	2625	MPB-kol	Yes	NA
SEP0271252	D08	3501358863	5500143585	2625	MPB-kol	Yes	NA
SEP0271266	D09	3501358864	5500143585	2625	MPB-kol	Yes	NA
SEP0271354	D10	3501358865	5500143585	2625	MPB-kol	Yes	NA
SEP0271295	D11	3501358866	5500143585	2625	MPB-kol	Yes	NA
SEP0271271	D12	3501358867	5500143585	2625	MPB-kol	Yes	NA
SEP0098353	E01	3501358868	5500143585	2625	MPB-kol	Yes	NA
SEP0271265	E02	3501358869	5500143585	2625	MPB-kol	Yes	NA
SEP0271250	E03	3501358870	5500143585	2625	MPB-kol	Yes	NA
SEP0098368	E04	3501358871	5500143585	2625	MPB-kol	Yes	NA
SEP0271256	E05	3501358872	5500143585	2625	MPB-kol	Yes	NA
SEP0271263	E06	3501358873	5500143585	2625	MPB-kol	Yes	NA
SEP0098344	E07	3501358874	5500143585	2625	MPB-kol	Yes	NA
SEP0271280	E08	3501358875	5500143585	2625	MPB-kol	Yes	NA
SEP0271267	E09	3501358876	5500143585	2625	MPB-kol	Yes	NA
SEP0271296	E10	3501358877	5500143585	2625	MPB-kol	Yes	NA
