SEP	Position	Tube ID	Rack ID	Box	Frys	DNA_extract	Comment
SEP0202941	A01	4025818286	3000142602	2625	MPB-Kol	YES	NA
SEP0202980	A02	4025818287	3000142602	2625	MPB-Kol	YES	NA
SEP0149315	A03	4025818288	3000142602	2625	MPB-Kol	YES	NA
SEP0202954	A04	4025818289	3000142602	2625	MPB-Kol	YES	NA
SEP0202959	A05	4025818290	3000142602	2625	MPB-Kol	YES	NA
SEP0202905	A06	4025818291	3000142602	2625	MPB-Kol	YES	NA
SEP0147526	A07	4025818292	3000142602	2625	MPB-Kol	YES	NA
SEP0202974	A08	4025818293	3000142602	2625	MPB-Kol	YES	NA
SEP0202987	A09	4025818294	3000142602	2625	MPB-Kol	YES	NA
SEP0202950	A10	4025818295	3000142602	2625	MPB-Kol	YES	NA
SEP0202973	A11	4025818296	3000142602	2625	MPB-Kol	YES	NA
SEP0202986	A12	4025818297	3000142602	2625	MPB-Kol	YES	NA
SEP0203047	B01	4025818298	3000142602	2625	MPB-Kol	YES	NA
SEP0202960	B02	4025818299	3000142602	2625	MPB-Kol	YES	NA
SEP0202943	B03	4025818300	3000142602	2625	MPB-Kol	YES	NA
SEP0202976	B04	4025818301	3000142602	2625	MPB-Kol	YES	NA
SEP0202901	B05	4025818302	3000142602	2625	MPB-Kol	YES	NA
SEP0202904	B06	4025818303	3000142602	2625	MPB-Kol	YES	NA
SEP0202969	B07	4025818304	3000142602	2625	MPB-Kol	YES	NA
SEP0164689	B08	4025818305	3000142602	2625	MPB-Kol	YES	NA
SEP0203055	B09	4025818306	3000142602	2625	MPB-Kol	YES	NA
SEP0203047	B10	4025818307	3000142602	2625	MPB-Kol	YES	NA
SEP0203044	B11	4025818308	3000142602	2625	MPB-Kol	YES	NA
SEP0202961	B12	4025818309	3000142602	2625	MPB-Kol	YES	NA
SEP0202944	C01	4025818310	3000142602	2625	MPB-Kol	YES	NA
SEP0147536	C02	4025818311	3000142602	2625	MPB-Kol	YES	NA
SEP0147531	C03	4025818312	3000142602	2625	MPB-Kol	YES	NA
SEP0202797	C04	4025818313	3000142602	2625	MPB-Kol	YES	NA
SEP0127525	C05	4025818314	3000142602	2625	MPB-Kol	YES	NA
SEP0202958	C06	4025818315	3000142602	2625	MPB-Kol	YES	NA
SEP0035497	C07	4025818316	3000142602	2625	MPB-Kol	YES	NA
SEP0147533	C08	4025818317	3000142602	2625	MPB-Kol	YES	NA
SEP0202892	C09	4025818318	3000142602	2625	MPB-Kol	YES	NA
SEP0147539	C10	4025818319	3000142602	2625	MPB-Kol	YES	NA
SEP0147538	C11	4025818320	3000142602	2625	MPB-Kol	YES	NA
SEP0202894	C12	4025818321	3000142602	2625	MPB-Kol	YES	NA
SEP0202968	D01	4025818322	3000142602	2625	MPB-Kol	YES	NA
SEP0202978	D02	4025818323	3000142602	2625	MPB-Kol	YES	NA
SEP0202977	D03	4025818324	3000142602	2625	MPB-Kol	YES	NA
SEP0203046	D04	4025818325	3000142602	2625	MPB-Kol	YES	NA
SEP0202891	D05	4025818326	3000142602	2625	MPB-Kol	YES	NA
SEP0202953	D06	4025818327	3000142602	2625	MPB-Kol	YES	NA
SEP0147532	D07	4025818328	3000142602	2625	MPB-Kol	YES	NA
SEP0202982	D08	4025818329	3000142602	2625	MPB-Kol	YES	NA
SEP0202967	D09	4025818330	3000142602	2625	MPB-Kol	YES	NA
SEP0065518	D10	4025818331	3000142602	2625	MPB-Kol	YES	NA
SEP0127524	D11	4025818332	3000142602	2625	MPB-Kol	YES	NA
SEP0202898	D12	4025818333	3000142602	2625	MPB-Kol	YES	NA
SEP0202946	E01	4025818334	3000142602	2625	MPB-Kol	YES	NA
SEP0147542	E02	4025818335	3000142602	2625	MPB-Kol	YES	NA
SEP0147527	E03	4025818336	3000142602	2625	MPB-Kol	YES	NA
SEP0147535	E04	4025818337	3000142602	2625	MPB-Kol	YES	NA
SEP0203062	E05	4025818338	3000142602	2625	MPB-Kol	YES	NA
SEP0202818	E06	4025818339	3000142602	2625	MPB-Kol	YES	NA
SEP0202965	E07	4025818340	3000142602	2625	MPB-Kol	YES	NA
SEP0202956	E08	4025818341	3000142602	2625	MPB-Kol	YES	NA
SEP0202964	E09	4025818342	3000142602	2625	MPB-Kol	YES	NA
SEP0202897	E10	4025818343	3000142602	2625	MPB-Kol	YES	NA
SEP0202947	E11	4025818344	3000142602	2625	MPB-Kol	YES	NA
SEP0202906	E12	4025818345	3000142602	2625	MPB-Kol	YES	NA
SEP0202896	F01	4025818346	3000142602	2625	MPB-Kol	YES	NA
SEP0202951	F02	4025818347	3000142602	2625	MPB-Kol	YES	NA
